id,composition,energy,uncertainty,timestamp
gen5_cand18,"{""Fe"": 0.010971714883414654, ""Ni"": 0.7921007757905538, ""Cu"": 0.19692750932603156}",-0.20351205555623522,0.05993819596767426,20260106_114509
gen6_cand13,"{""Cu"": 0.8932210675290588, ""Fe"": 0.09321560224564573, ""Ni"": 0.01356333022529542}",-0.15093819402325678,0.05760853054523468,20260106_114509
gen1_cand7,"{""Cu"": 0.8188547002974096, ""Fe"": 0.07828427156116745, ""Ni"": 0.10286102814142299}",0.17236288054516435,0.055933824801445015,20260106_134651
gen2_cand14,"{""Ni"": 0.21806673464274504, ""Cu"": 0.7654533563390755, ""Fe"": 0.016479909018179497}",0.2937000615210228,0.056027320647239684,20260106_134651
gen1_cand7,"{""Fe"": 0.05640363073228127, ""Ni"": 0.9435963692677188}",-0.24377536081353213,0.05493471982479095,20260106_140236
gen2_cand0,"{""Ni"": 0.9591419618057194, ""Fe"": 0.040858038194280535}",-0.21810345770809003,0.05197693767547608,20260106_140236
gen3_cand15,"{""Fe"": 0.060436794794622245, ""Ni"": 0.9395632052053777}",-0.20585145744414712,0.048939613127708434,20260106_140236
gen4_cand14,"{""Fe"": 0.3866591705458377, ""Ni"": 0.6133408294541624}",-0.3110689712310216,0.04638698163032532,20260106_140236
gen5_cand0,"{""Ni"": 0.5498348063584043, ""Fe"": 0.45016519364159563}",-0.32510200363375763,0.04390454354286194,20260106_140236
gen1_cand10,"{""Ni"": 0.5135626338933056, ""Fe"": 0.48643736610669447}",-0.32922048156116956,0.041089797639846805,20260106_140903
gen2_cand3,"{""Ni"": 0.56909636147526, ""Fe"": 0.43090363852474}",-0.4165837150535565,0.038007757687568665,20260106_140903
gen3_cand19,"{""Ni"": 0.6012186350482895, ""Fe"": 0.3987813649517105}",-0.24008587793846572,0.03452310326099396,20260106_140903
gen4_cand6,"{""Ni"": 0.5523536537210171, ""Fe"": 0.44764634627898275}",-0.367496379091298,0.034004952633380894,20260106_140903
gen5_cand7,"{""Ni"": 0.5249335910450322, ""Fe"": 0.4750664089549677}",-0.32115334947999497,0.029288111501932147,20260106_140903
gen6_cand15,"{""Ni"": 0.5033490149646634, ""Fe"": 0.49665098503533656}",-0.27162838371347847,0.027937566363811492,20260106_140903
gen7_cand4,"{""Fe"": 0.47563763658352987, ""Ni"": 0.5243623634164701}",-0.3666501020526692,0.02348361319452524,20260106_140903
gen8_cand10,"{""Fe"": 0.47069745787369355, ""Ni"": 0.5293025421263063}",-0.37650026667174247,0.02563659908771515,20260106_140903
gen1_cand7,"{""Fe"": 0.4714310233707251, ""Ni"": 0.5285689766292749}",-0.2630991661521567,0.025096738585829736,20260106_141644
gen2_cand13,"{""Ni"": 0.5842251980794138, ""Fe"": 0.4157748019205863}",-0.3259199997569736,0.025352612757682802,20260106_141644
gen3_cand12,"{""Fe"": 0.4030631102903043, ""Ni"": 0.5969368897096956}",-0.27281597270663877,0.02508074032664299,20260106_141644
gen4_cand5,"{""Ni"": 0.504934506402862, ""Fe"": 0.4950654935971381}",-0.36828172143356225,0.02462985428571701,20260106_141644
